"20/08/2023, 9:07 pm - Messages and calls are end-to-end encrypted. No one outside of this chat, not even WhatsApp, can read or listen to them. Tap to learn more."
"27/08/2023, 12:21 am - Rishabh: Soja badk"
"27/08/2023, 12:21 am - Rishabh: *bsdk"
"27/08/2023, 12:29 am - Vishal(B C. A): <Media omitted>"
"27/08/2023, 12:29 am - Jatin: You deleted this message"
"27/08/2023, 12:30 am - Jatin: Sale itni raat me delivery vale se mehnat karvata he"
"27/08/2023, 12:31 am - Vishal(B C. A): <Media omitted>"
"27/08/2023, 12:32 am - Jatin: <Media omitted>"
"27/08/2023, 12:34 am - Vishal(B C. A): <Media omitted>"
"27/08/2023, 12:49 am - Vishal(B C. A): Bhaiyo iss mid sem ke question paper ho toh send Karo please"
"27/08/2023, 12:50 am - Jatin: Chill kar bro"
"27/08/2023, 12:51 am - Vishal(B C. A): Aree Mera ek dost fail hai"
"27/08/2023, 12:51 am - Vishal(B C. A): Usko chahiye"
"27/08/2023, 12:51 am - Jatin: Usko bol chill kare"
"27/08/2023, 12:51 am - Vishal(B C. A): Bhosdike thik hai vai..."
"27/08/2023, 12:52 am - Vishal(B C. A): Koi help maange usko Aisa thodi bol sakte hai"
"Yeh toh vishwam tension mai thaa iss liye main bola tha"
"28/08/2023, 12:29 pm - Vishal(B C. A): <Media omitted>"
"28/08/2023, 12:30 pm - Vishal(B C. A): 😎"
"28/08/2023, 12:55 pm - Rishabh: Aama loka 204 ma batha cha"
"28/08/2023, 1:02 pm - Vishwam Dave: Class ma jagya che?"
"28/08/2023, 1:02 pm - Jatin: Aakho class Khali che"
"28/08/2023, 5:14 pm - Jatin: Bc java ni detain list kyare aavse?"
"28/08/2023, 5:15 pm - Ansh B. C. A: Ej bc gand fatee che"
"28/08/2023, 5:17 pm - Rishabh: 6 00 or 8 00"
"28/08/2023, 5:18 pm - Vishwam Dave: Atlu late moklavse la"
"28/08/2023, 5:18 pm - Rishabh: Yes bro"
"28/08/2023, 5:18 pm - Rishabh: Tai yari kari la"
"28/08/2023, 5:19 pm - Vishwam Dave: Ok"
"28/08/2023, 7:22 pm - Vishal(B C. A): Tum sab logg hostel Mai nahi rehte naa saale"
"28/08/2023, 7:23 pm - Vishal(B C. A): Tumko dikhata hu tum logg kya Miss kar rahe ho"
"28/08/2023, 7:23 pm - Vishal(B C. A): <Media omitted>"
"28/08/2023, 7:23 pm - Vishal(B C. A): <Media omitted>"
"28/08/2023, 7:23 pm - Vishal(B C. A): <Media omitted>"
"28/08/2023, 7:23 pm - Vishal(B C. A): <Media omitted>"
"28/08/2023, 7:23 pm - Vishal(B C. A): <Media omitted>"
"28/08/2023, 7:23 pm - Vishal(B C. A): <Media omitted>"
"28/08/2023, 7:23 pm - Vishal(B C. A): <Media omitted>"
"28/08/2023, 7:24 pm - Vishal(B C. A): Yeh dekho bc ek toh uss bande kaa paav toot chuka hai aur yaha yeh bakchodi ho Rahi hai 😂😂😂"
"28/08/2023, 7:24 pm - Rishabh: Padho karna da lodu"
"28/08/2023, 7:24 pm - Rishabh: *Padhi"
"28/08/2023, 7:24 pm - Vishal(B C. A): Kyu terko bhi re mid dena hai"
"28/08/2023, 7:24 pm - Vishal(B C. A): ???"
"28/08/2023, 7:25 pm - Vishwam Dave: List hi nahi aayi"
"28/08/2023, 7:25 pm - Rishabh: Java ka ha kala list to aaya nahi"
"28/08/2023, 7:25 pm - Vishal(B C. A): Bc 😭"
"28/08/2023, 7:25 pm - Vishal(B C. A): Koi nahi abhi exam toh dedo"
"28/08/2023, 7:25 pm - Vishal(B C. A): DSA kaa"
"28/08/2023, 7:26 pm - Vishal(B C. A): Online"
"28/08/2023, 7:26 pm - Rishabh: Haa"
"28/08/2023, 7:26 pm - Rishabh: 7 30 ko ha na"
"28/08/2023, 7:26 pm - Vishal(B C. A): Haa"
"28/08/2023, 7:29 pm - Jatin: Isko bakchodi nahi chutiyapa kehte he"
"28/08/2023, 7:30 pm - Vishal(B C. A): 😂😂😂😂"
"28/08/2023, 7:30 pm - Vishal(B C. A): Bro hostel Mai rehne ke maze hai"
"28/08/2023, 7:30 pm - Vishal(B C. A): Aise memories bante hai"
"28/08/2023, 7:30 pm - Jatin: Teri gaand uske pair me kuch ho jata to"
"28/08/2023, 7:30 pm - Jatin: Lund le le"
"28/08/2023, 7:31 pm - Vishal(B C. A): Abee maine nahi kiya kuch"
"28/08/2023, 7:31 pm - Vishal(B C. A): Mai toh bass camera man hu"
"28/08/2023, 7:31 pm - Vishal(B C. A): 🥲😂"
"28/08/2023, 7:48 pm - Vishwam Dave: List aa gayi 4"
"28/08/2023, 7:48 pm - Vishwam Dave: Par bc phir bhi java ki nahi aayi"
"28/08/2023, 7:52 pm - Rishabh: Wtf"
"28/08/2023, 7:52 pm - Vishwam Dave: Dekh lo"
"28/08/2023, 7:52 pm - Vishwam Dave: Par lagta nahi hai ki java ki aayi hai"
"28/08/2023, 7:52 pm - Rishabh: Haa"
"28/08/2023, 7:53 pm - Abhishek Sharma: Paper thyi gyu"
"28/08/2023, 8:04 pm - Vishal(B C. A): This message was deleted"
"28/08/2023, 8:04 pm - Rishabh: Na"
"28/08/2023, 8:06 pm - Jatin: Sale scammer"
"28/08/2023, 8:16 pm - Rishabh: Java ka kab aayaga"
"28/08/2023, 8:17 pm - Vishwam Dave: Pata nahi. Bc sab ka aagaya aur kal java ka hai aur uska hi nahi aaya"
"28/08/2023, 8:21 pm - Vishal(B C. A): 😂😂😂😂"
"28/08/2023, 8:22 pm - Vishal(B C. A): <Media omitted>"
"28/08/2023, 8:33 pm - Jatin: Aai gayi list"
"28/08/2023, 8:36 pm - Rishabh: Bhai lag gaya"
"28/08/2023, 8:36 pm - Ansh B. C. A: Ha bhai"
"28/08/2023, 8:36 pm - Ansh B. C. A: Me gaya"
"28/08/2023, 8:36 pm - Ansh B. C. A: Ane kale j che j che exam"
"28/08/2023, 8:36 pm - Ansh B. C. A: Bc"
